duration,man_dist,Month,Day,Date,Hour,pickup_region,dropoff_region
564,39.96029999999996,5,0,7,11,16,2
639,29.742199999999997,3,3,29,17,7,8
1282,35.4289,2,2,7,8,70,65
1355,53.04230000000004,6,5,9,8,64,2
649,26.284399999999977,3,3,8,16,15,28
773,35.146000000000015,7,6,1,19,67,14
283,6.918000000000035,5,4,18,11,35,25
191,7.295400000000001,4,0,23,13,31,41
376,9.573000000000008,2,4,23,9,54,15
582,9.444399999999973,6,1,19,0,8,5
719,47.42739999999995,5,6,27,19,4,75
108,8.127599999999973,2,0,12,13,41,22
1007,71.49039999999997,4,5,14,7,61,44
243,15.383599999999973,5,3,24,17,16,31
479,20.133500000000026,2,5,10,13,76,27
414,24.127899999999983,7,3,12,21,7,15
99,6.940800000000024,3,4,9,10,61,52
206,9.373199999999997,2,5,17,23,15,39
576,28.29649999999998,7,0,9,12,30,12
1172,27.29770000000005,3,0,26,16,68,7
165,16.19780000000003,4,2,11,6,76,54
588,38.71780000000001,7,3,5,15,12,70
272,18.587399999999974,2,5,17,7,45,54
759,27.621899999999982,7,2,4,16,21,7
680,43.16640000000004,3,4,2,19,37,47
446,21.399599999999964,6,2,6,8,40,55
369,15.01019999999994,3,3,15,21,24,7
256,16.484000000000037,6,3,21,17,45,46
1161,54.8244,6,0,4,22,65,73
410,12.375400000000013,2,3,8,19,78,25
305,13.292800000000028,3,3,22,8,28,11
374,17.549599999999998,3,6,18,2,57,47
736,43.567699999999974,6,4,22,19,53,52
318,12.734999999999985,4,4,6,19,16,1
545,30.39949999999999,1,6,14,13,70,53
104,6.204399999999993,2,5,17,8,18,80
559,27.136699999999962,2,6,25,18,46,60
168,13.903399999999976,4,1,17,15,20,38
438,28.478100000000012,2,1,20,14,49,73
218,15.073000000000008,2,0,26,15,43,75
898,19.47550000000004,5,2,9,16,36,76
737,34.435100000000006,5,5,26,11,52,53
226,9.369299999999981,1,3,18,7,50,78
431,24.15560000000002,1,2,17,13,54,43
710,38.00790000000001,5,4,18,0,4,43
417,26.10190000000003,5,1,29,19,67,71
294,8.857999999999947,5,5,5,14,78,63
662,54.88839999999993,6,0,4,17,29,6
337,21.648499999999956,5,1,29,15,37,78
253,18.721900000000034,1,1,23,20,54,18
759,43.3142,1,1,30,20,72,46
370,18.107899999999972,2,6,4,8,75,54
594,13.834700000000026,5,2,9,22,15,67
280,16.525800000000004,2,4,23,13,49,64
482,16.814899999999938,1,3,18,12,50,40
671,21.562700000000035,5,3,3,15,51,10
489,22.189699999999988,3,6,18,19,43,34
407,21.818600000000004,1,1,30,4,30,34
1070,24.849199999999996,7,1,10,18,70,10
651,52.09180000000006,2,4,16,21,16,52
1041,50.7149,1,6,21,15,29,6
358,18.689699999999988,1,4,26,22,10,7
217,10.31359999999998,5,1,1,22,15,9
373,16.412300000000016,6,3,21,16,5,68
686,22.742400000000004,4,6,1,20,43,74
353,19.695099999999996,1,4,26,21,46,11
538,22.838799999999964,5,5,19,11,20,53
351,12.163200000000018,1,4,26,18,45,67
165,10.950900000000047,4,3,26,7,63,78
405,13.95999999999998,2,0,19,19,76,35
361,18.403699999999986,3,6,25,16,7,43
871,23.42930000000004,4,6,22,15,18,1
765,78.83500000000004,6,5,2,7,17,32
536,48.68250000000003,4,0,2,9,7,72
343,20.302700000000016,3,5,31,1,16,58
505,26.54880000000003,3,4,23,10,65,50
1011,59.29340000000002,1,6,28,9,45,63
623,55.86900000000003,2,1,20,9,21,14
1164,32.21949999999998,4,5,28,8,3,55
447,19.44180000000003,3,1,6,0,58,16
380,34.46170000000001,7,2,4,4,17,49
781,39.31399999999999,5,3,24,12,78,11
421,30.420800000000014,3,0,5,18,61,65
153,8.517600000000044,3,6,4,23,53,36
259,7.163700000000006,2,1,6,12,66,72
249,10.980099999999965,3,4,16,19,72,4
1691,81.83619999999999,4,0,2,14,51,66
401,17.491600000000005,4,6,29,14,23,44
1026,73.36690000000002,1,2,24,18,72,10
942,16.77279999999996,5,6,20,11,26,15
416,30.858800000000002,4,0,30,21,37,52
359,14.986999999999995,3,6,18,23,68,75
715,17.1524,2,1,6,14,10,7
427,32.460800000000006,4,1,10,16,47,38
117,17.770400000000024,2,3,1,5,64,1
834,27.040599999999984,6,3,28,14,77,65
505,22.660799999999966,2,5,10,19,38,40
540,33.6575,1,2,17,21,39,44
826,22.153599999999983,2,2,21,20,5,44
439,21.537799999999976,1,5,27,21,64,59
289,7.799500000000052,4,6,29,21,21,39
1023,34.00659999999996,4,1,17,18,73,11
435,37.45490000000004,7,1,3,6,13,78
1102,68.21379999999996,2,5,10,20,74,56
77,7.539199999999994,5,1,1,11,65,25
604,27.445699999999988,2,6,4,9,38,67
708,16.021800000000013,2,6,11,17,5,74
398,17.596899999999977,3,1,6,18,74,66
515,23.495900000000006,7,2,11,16,38,40
310,12.321699999999993,4,2,25,13,22,73
1030,108.17989999999998,2,4,23,8,19,32
136,3.8907000000000096,2,3,1,9,34,34
218,9.618299999999977,3,5,31,20,44,73
444,28.212500000000006,3,5,3,23,58,21
44,4.54770000000002,3,1,6,13,6,13
352,19.70659999999998,7,5,7,22,67,36
219,10.287299999999988,7,4,6,10,77,42
1155,61.03280000000001,2,2,28,20,53,8
380,24.54570000000001,6,1,5,3,34,58
216,12.608199999999954,4,2,11,7,60,24
234,15.467599999999976,5,5,26,6,41,73
398,21.776600000000002,6,5,16,19,7,22
863,26.263900000000007,3,4,23,14,52,2
885,50.1413,5,1,22,16,45,74
1394,66.08019999999999,2,1,27,16,34,79
707,36.33189999999999,6,4,8,21,36,2
223,13.999299999999977,3,4,23,18,18,65
694,66.81039999999996,5,3,17,0,45,57
636,19.04159999999999,5,6,6,12,76,39
149,6.354100000000017,4,3,12,11,72,66
508,20.856400000000008,4,6,15,14,64,58
167,7.900200000000012,6,4,22,12,17,2
310,8.404099999999971,3,0,5,2,34,41
1205,31.63129999999998,5,5,5,22,10,9
266,8.84680000000003,5,3,17,19,22,31
451,16.9803,2,5,10,15,37,15
614,24.43360000000004,4,0,2,19,73,45
335,22.661899999999974,3,3,29,8,60,31
554,29.123400000000004,4,1,17,1,18,20
242,23.251000000000033,5,0,7,14,39,3
725,22.520899999999955,4,0,2,18,70,10
1003,51.25740000000005,2,6,25,13,13,53
325,23.139800000000037,4,2,4,18,44,28
92,10.792100000000005,7,4,13,23,59,26
726,51.755799999999994,2,0,12,11,28,78
345,28.235199999999992,5,4,18,17,7,34
624,49.01230000000007,5,6,27,0,40,8
571,21.64549999999997,2,1,13,19,11,39
558,20.754199999999997,7,6,1,22,65,60
399,8.648200000000031,2,3,8,20,54,39
366,19.95059999999998,5,0,7,17,35,60
893,28.79910000000004,2,3,15,13,75,10
856,26.147899999999993,1,1,16,19,73,28
834,24.18689999999995,3,5,3,11,28,1
140,16.491899999999987,4,0,2,9,11,54
118,5.219000000000051,3,3,29,10,66,66
511,17.970799999999997,1,0,22,16,4,74
211,10.780500000000018,6,1,26,19,52,78
160,7.500100000000003,7,1,10,13,27,27
699,46.8956,2,6,25,2,73,32
727,41.91840000000002,1,0,15,16,45,78
1108,34.839,5,3,31,14,10,52
342,15.95350000000002,3,0,12,8,54,77
1234,26.219300000000004,3,5,31,18,80,77
844,50.31870000000001,6,2,6,9,48,24
62,7.034099999999995,3,3,8,16,39,15
1116,1.3907999999999845,5,2,23,13,65,65
216,20.833199999999977,7,0,9,20,9,5
756,56.37469999999999,6,1,5,22,65,73
583,39.718199999999996,7,1,10,22,8,32
201,8.07820000000001,4,0,2,15,74,31
651,30.4486,3,3,22,16,29,61
452,28.755500000000012,6,0,4,1,46,80
243,24.699899999999985,2,2,28,4,8,34
1345,37.215599999999995,6,5,30,13,4,42
718,32.49489999999997,1,0,22,17,46,5
702,58.07949999999997,7,1,3,12,49,72
1014,31.325500000000005,5,3,3,18,39,7
299,15.37009999999998,4,0,23,14,33,69
608,15.646399999999971,6,4,15,14,45,64
362,20.203700000000026,6,1,26,0,16,58
843,15.644700000000029,4,1,17,0,8,62
341,9.550199999999961,3,0,19,17,39,10
162,12.999000000000024,2,4,9,22,65,71
556,22.440500000000014,3,1,13,17,67,77
618,47.459,2,4,16,22,53,61
934,51.74400000000003,1,6,21,22,40,7
674,51.626599999999996,3,6,18,23,5,10
1235,40.002999999999986,2,4,9,21,11,8
194,9.898300000000006,4,4,13,17,79,36
836,34.901899999999955,6,6,17,18,28,27
557,20.657900000000012,6,5,16,21,37,53
305,7.500200000000007,6,5,16,12,70,23
728,31.68569999999997,5,6,27,14,52,51
220,15.250200000000035,6,6,17,20,20,27
364,28.286100000000005,5,0,14,8,53,78
127,7.578800000000001,5,3,17,1,8,42
336,29.468500000000006,1,2,17,19,65,38
497,41.638499999999965,3,2,7,17,61,36
348,1.2224999999999966,4,0,16,22,41,41
270,15.792099999999976,1,6,28,15,5,41
122,0.9387999999999579,5,2,30,5,1,1
588,14.809900000000027,3,4,30,10,77,15
266,14.299400000000048,4,5,28,22,43,1
260,21.354899999999986,1,6,14,10,1,7
1487,45.271799999999985,2,1,13,13,49,27
464,31.8664,6,6,10,19,28,73
146,8.6293,3,5,31,9,22,34
161,12.690499999999986,5,2,16,18,11,49
727,45.62170000000003,2,2,28,21,34,35
400,25.237400000000008,1,6,14,22,35,52
725,48.99969999999999,2,5,10,19,49,20
360,26.753800000000012,5,2,9,23,11,44
813,35.36919999999998,6,4,1,21,8,66
469,34.65709999999996,5,0,14,12,46,66
567,21.978399999999993,2,6,4,7,3,38
1115,75.35220000000001,6,4,29,22,5,19
259,13.496100000000013,3,3,22,5,70,49
416,17.22859999999997,4,6,15,9,3,37
267,8.666099999999943,2,6,11,20,11,49
212,16.31250000000003,2,2,28,13,11,10
769,31.57680000000002,2,0,12,23,75,58
512,38.28489999999999,6,5,30,21,9,71
771,27.931200000000047,6,3,28,10,43,65
430,51.159700000000015,4,4,27,6,66,49
447,22.710099999999983,6,5,30,17,35,3
550,38.578899999999976,5,2,16,19,64,26
662,35.35420000000002,3,6,25,19,68,17
1019,94.9308,6,3,7,20,19,73
1036,48.12119999999999,7,1,10,20,74,10
366,14.579499999999996,5,4,18,13,48,71
266,16.18640000000002,3,6,4,14,56,19
399,25.215499999999963,5,6,6,2,67,51
997,32.654000000000025,5,0,28,18,18,75
1044,43.07779999999997,2,1,27,1,7,30
405,20.627000000000038,3,4,16,8,64,14
81,7.1007999999999925,4,3,12,3,24,10
1233,27.7774,3,4,2,13,43,54
324,17.05030000000002,3,1,27,0,64,15
622,16.8219,6,6,10,13,7,28
340,12.397800000000018,3,2,21,12,54,15
456,17.784699999999987,6,5,30,21,28,18
449,27.190499999999986,7,5,14,21,36,24
380,20.926799999999986,3,4,23,21,18,36
484,27.28860000000006,2,5,24,15,45,51
203,14.45950000000002,3,5,17,1,50,13
1367,54.097099999999955,6,0,4,22,11,30
330,39.42580000000001,4,3,26,0,30,26
1470,62.802599999999956,4,0,9,12,53,34
668,31.41319999999999,4,5,21,7,53,52
476,30.76340000000002,4,5,7,19,64,59
518,40.4127,4,5,28,21,46,66
489,29.914200000000022,5,0,14,15,16,37
705,48.51850000000002,2,0,19,14,52,79
542,26.30329999999995,2,0,5,3,5,64
207,8.445199999999971,4,4,13,18,36,51
344,17.282700000000006,3,1,13,8,68,64
295,13.904300000000035,2,6,11,14,42,34
259,1.2225000000000534,3,6,11,18,8,8
1320,45.68899999999999,5,6,13,21,4,16
428,30.362899999999996,4,3,26,14,27,63
280,15.180200000000013,5,5,12,15,37,21
99,10.072599999999994,3,3,15,21,59,16
503,42.71349999999998,6,2,27,5,79,78
376,36.44500000000005,3,0,5,23,55,61
1158,57.99929999999998,3,0,12,16,50,7
280,8.880600000000015,6,4,22,18,66,12
48,8.305200000000013,2,3,15,6,15,75
716,60.14519999999999,3,5,31,21,77,61
325,16.52989999999997,4,6,8,15,76,35
1137,88.80569999999997,4,6,1,0,22,48
634,24.056699999999978,4,5,7,20,34,7
395,19.188900000000046,7,0,9,8,66,32
498,33.11600000000004,1,0,29,1,29,33
159,10.86820000000003,3,2,28,12,39,71
352,31.402100000000047,3,2,7,21,51,57
168,8.1584,2,5,24,21,26,71
245,19.673399999999987,2,1,13,12,43,21
665,45.37600000000003,3,5,24,17,11,29
211,11.709399999999988,4,4,20,8,45,24
293,13.109500000000025,7,1,10,0,7,49
901,40.4939,5,3,10,9,28,22
422,12.99679999999995,3,0,19,21,5,30
742,24.941399999999987,2,0,26,23,58,34
922,25.856799999999993,6,6,17,9,14,11
505,17.4829,5,3,17,20,59,35
589,6.8577999999999975,3,3,29,16,1,24
874,50.62809999999999,6,6,10,16,59,63
182,12.791799999999967,3,2,7,17,29,20
523,27.502399999999994,6,4,22,14,48,37
280,18.087999999999965,1,5,27,21,27,20
742,37.726200000000006,5,0,28,17,2,29
58,6.75649999999996,4,1,17,4,77,75
387,24.99429999999998,7,3,5,15,23,42
1112,39.78309999999999,2,3,22,11,52,1
697,59.827,1,0,22,0,30,2
242,9.837299999999999,2,3,22,11,34,31
303,14.918200000000013,1,6,21,22,43,60
1027,61.0213,4,6,15,10,2,5
1121,39.592299999999966,6,5,23,19,18,9
304,15.35820000000001,6,5,16,18,42,5
552,13.510599999999954,3,0,5,0,74,62
1175,26.206800000000044,5,5,5,11,58,7
851,70.68009999999995,4,0,9,20,48,62
933,2.2468000000000075,7,2,11,22,8,5
250,23.525600000000054,5,1,15,22,73,45
147,5.536099999999976,1,6,21,14,54,55
186,11.002399999999994,2,0,12,14,37,21
117,9.075300000000027,1,6,21,11,65,25
468,20.203699999999998,4,3,12,8,40,35
217,7.289600000000007,1,2,24,9,12,74
207,10.291500000000013,5,0,14,21,7,23
432,20.183400000000063,1,1,30,17,26,9
598,39.0505,4,2,4,23,14,53
330,16.495000000000033,5,1,22,11,67,45
331,15.88949999999997,6,4,8,14,16,55
134,7.903499999999951,5,0,21,1,79,79
310,8.998800000000045,5,0,7,19,42,16
162,9.956999999999965,3,3,8,15,36,38
463,11.965800000000002,5,3,3,22,39,21
413,7.8700000000000045,7,4,6,22,31,58
1008,51.836100000000016,4,1,3,20,70,30
603,33.32370000000003,3,1,20,15,70,39
637,13.826900000000023,6,5,9,21,16,7
409,21.670500000000004,5,0,14,1,77,8
1257,24.932999999999993,2,4,9,14,70,68
938,67.60050000000004,2,6,18,11,18,72
331,24.660499999999985,3,1,13,8,18,28
473,24.334099999999978,7,6,8,17,76,38
653,27.547699999999992,3,2,14,18,16,10
366,13.870300000000043,3,5,31,17,3,61
542,23.35779999999997,3,3,22,8,46,12
499,28.358000000000033,5,5,26,10,78,51
1078,63.15919999999997,2,4,9,13,70,32
408,12.107200000000006,4,2,4,10,1,10
171,9.875900000000001,1,3,25,18,24,1
368,19.9341,1,3,18,19,8,62
771,32.331699999999955,5,3,31,19,10,46
384,28.65780000000001,1,1,30,18,36,76
665,31.974800000000045,2,0,19,1,67,43
277,26.649200000000008,3,3,22,20,37,61
429,25.835800000000006,3,1,27,12,24,23
552,19.560399999999987,7,3,12,7,16,1
397,28.81970000000001,4,4,20,18,27,57
259,8.29619999999997,6,4,22,17,49,60
768,40.421599999999984,3,3,1,15,70,36
414,31.003199999999993,3,2,14,6,1,2
972,36.0762,1,3,25,10,31,59
265,5.963499999999954,1,1,23,20,11,45
152,5.910999999999973,3,0,26,15,24,24
166,17.221499999999992,1,6,14,19,44,31
366,12.90609999999998,2,0,12,11,17,65
167,8.740000000000038,1,1,23,2,5,5
532,34.07090000000002,7,2,11,7,52,54
195,8.398900000000026,3,2,7,15,37,71
701,21.616600000000034,6,6,17,20,58,16
145,7.004899999999992,3,4,30,9,38,20
1102,36.16350000000003,4,0,23,22,66,16
744,30.791799999999967,2,6,4,16,12,4
133,6.5607000000000255,4,6,8,22,31,5
365,29.05680000000001,1,0,29,9,21,11
699,29.863699999999994,6,5,2,21,13,69
338,16.57099999999997,4,5,7,18,73,44
770,27.26310000000001,1,3,18,10,74,64
1067,67.17649999999995,6,1,19,16,11,72
219,7.110900000000015,7,1,10,11,40,56
309,21.093000000000018,4,1,17,9,3,26
660,20.54529999999994,7,3,12,10,51,10
192,11.252499999999998,2,3,1,8,18,79
243,19.387599999999992,3,2,28,16,34,44
1547,73.60620000000006,3,4,9,18,73,2
475,17.2783,5,0,7,22,34,30
498,37.64580000000001,3,0,19,13,48,6
269,21.24090000000004,6,0,18,21,7,42
248,18.63919999999996,4,1,17,17,38,3
374,25.552400000000006,5,4,4,1,45,16
485,26.765499999999975,6,0,11,19,76,53
1071,32.655800000000056,7,6,8,11,9,31
664,23.52350000000004,1,3,18,8,18,1
535,22.50479999999999,7,3,5,13,15,7
